"","EURIRS","Rate_Name","Rate_Value"
"435","06/05/2021","X30.ANNI",0.52
"436","07/05/2021","X10.ANNI",0.11
"437","07/05/2021","X15.ANNI",0.38
"438","07/05/2021","X20.ANNI",0.5
"439","07/05/2021","X25.ANNI",0.53
"440","07/05/2021","X30.ANNI",0.52
"441","10/05/2021","X10.ANNI",0.14
"442","10/05/2021","X15.ANNI",0.41
"443","10/05/2021","X20.ANNI",0.52
"444","10/05/2021","X25.ANNI",0.56
"445","10/05/2021","X30.ANNI",0.55
"446","11/05/2021","X10.ANNI",0.18
"447","11/05/2021","X15.ANNI",0.43
"448","11/05/2021","X20.ANNI",0.55
"449","11/05/2021","X25.ANNI",0.58
"450","11/05/2021","X30.ANNI",0.57
"451","12/05/2021","X10.ANNI",0.18
"452","12/05/2021","X15.ANNI",0.46
"453","12/05/2021","X20.ANNI",0.56
"454","12/05/2021","X25.ANNI",0.6
"455","12/05/2021","X30.ANNI",0.58
"456","13/05/2021","X10.ANNI",0.17
"457","13/05/2021","X15.ANNI",0.43
"458","13/05/2021","X20.ANNI",0.55
"459","13/05/2021","X25.ANNI",0.58
"460","13/05/2021","X30.ANNI",0.55
"461","14/05/2021","X10.ANNI",0.16
"462","14/05/2021","X15.ANNI",0.43
"463","14/05/2021","X20.ANNI",0.54
"464","14/05/2021","X25.ANNI",0.57
"465","14/05/2021","X30.ANNI",0.55
"466","17/05/2021","X10.ANNI",0.18
"467","17/05/2021","X15.ANNI",0.44
"468","17/05/2021","X20.ANNI",0.56
"469","17/05/2021","X25.ANNI",0.58
"470","17/05/2021","X30.ANNI",0.57
"471","18/05/2021","X10.ANNI",0.21
"472","18/05/2021","X15.ANNI",0.47
"473","18/05/2021","X20.ANNI",0.59
"474","18/05/2021","X25.ANNI",0.61
"475","18/05/2021","X30.ANNI",0.6
"476","19/05/2021","X10.ANNI",0.18
"477","19/05/2021","X15.ANNI",0.44
"478","19/05/2021","X20.ANNI",0.57
"479","19/05/2021","X25.ANNI",0.59
"480","19/05/2021","X30.ANNI",0.58
"481","20/05/2021","X10.ANNI",0.19
"482","20/05/2021","X15.ANNI",0.45
"483","20/05/2021","X20.ANNI",0.57
"484","20/05/2021","X25.ANNI",0.59
"485","20/05/2021","X30.ANNI",0.57
"486","21/05/2021","X10.ANNI",0.17
"487","21/05/2021","X15.ANNI",0.44
"488","21/05/2021","X20.ANNI",0.55
"489","21/05/2021","X25.ANNI",0.57
"490","21/05/2021","X30.ANNI",0.56
"491","24/05/2021","X10.ANNI",0.16
"492","24/05/2021","X15.ANNI",0.42
"493","24/05/2021","X20.ANNI",0.54
"494","24/05/2021","X25.ANNI",0.56
"495","24/05/2021","X30.ANNI",0.55
"496","25/05/2021","X10.ANNI",0.15
"497","25/05/2021","X15.ANNI",0.41
"498","25/05/2021","X20.ANNI",0.53
"499","25/05/2021","X25.ANNI",0.56
"500","25/05/2021","X30.ANNI",0.53
"501","26/05/2021","X10.ANNI",0.12
"502","26/05/2021","X15.ANNI",0.37
"503","26/05/2021","X20.ANNI",0.49
"504","26/05/2021","X25.ANNI",0.51
"505","26/05/2021","X30.ANNI",0.51
"506","27/05/2021","X10.ANNI",0.14
"507","27/05/2021","X15.ANNI",0.4
"508","27/05/2021","X20.ANNI",0.52
"509","27/05/2021","X25.ANNI",0.56
"510","27/05/2021","X30.ANNI",0.53
"511","28/05/2021","X10.ANNI",0.14
"512","28/05/2021","X15.ANNI",0.41
"513","28/05/2021","X20.ANNI",0.53
"514","28/05/2021","X25.ANNI",0.55
"515","28/05/2021","X30.ANNI",0.54
"516","31/05/2021","X10.ANNI",0.13
"517","31/05/2021","X15.ANNI",0.39
"518","31/05/2021","X20.ANNI",0.5
"519","31/05/2021","X25.ANNI",0.53
"520","31/05/2021","X30.ANNI",0.51
"521","01/06/2021","X10.ANNI",0.13
"522","01/06/2021","X15.ANNI",0.4
"523","01/06/2021","X20.ANNI",0.51
"524","01/06/2021","X25.ANNI",0.54
"525","01/06/2021","X30.ANNI",0.53
"526","02/06/2021","X10.ANNI",0.12
"527","02/06/2021","X15.ANNI",0.38
"528","02/06/2021","X20.ANNI",0.5
"529","02/06/2021","X25.ANNI",0.53
"530","02/06/2021","X30.ANNI",0.52
"531","03/06/2021","X10.ANNI",0.14
"532","03/06/2021","X15.ANNI",0.4
"533","03/06/2021","X20.ANNI",0.52
"534","03/06/2021","X25.ANNI",0.55
"535","03/06/2021","X30.ANNI",0.54
"536","04/06/2021","X10.ANNI",0.13
"537","04/06/2021","X15.ANNI",0.39
"538","04/06/2021","X20.ANNI",0.51
"539","04/06/2021","X25.ANNI",0.54
"540","04/06/2021","X30.ANNI",0.53
"541","07/06/2021","X10.ANNI",0.14
"542","07/06/2021","X15.ANNI",0.38
"543","07/06/2021","X20.ANNI",0.51
"544","07/06/2021","X25.ANNI",0.54
"545","07/06/2021","X30.ANNI",0.52
"546","08/06/2021","X10.ANNI",0.12
"547","08/06/2021","X15.ANNI",0.39
"548","08/06/2021","X20.ANNI",0.49
"549","08/06/2021","X25.ANNI",0.53
"550","08/06/2021","X30.ANNI",0.51
"551","09/06/2021","X10.ANNI",0.09
"552","09/06/2021","X15.ANNI",0.35
"553","09/06/2021","X20.ANNI",0.45
"554","09/06/2021","X25.ANNI",0.5
"555","09/06/2021","X30.ANNI",0.48
"556","10/06/2021","X10.ANNI",0.08
"557","10/06/2021","X15.ANNI",0.35
"558","10/06/2021","X20.ANNI",0.48
"559","10/06/2021","X25.ANNI",0.5
"560","10/06/2021","X30.ANNI",0.48
"561","11/06/2021","X10.ANNI",0.07
"562","11/06/2021","X15.ANNI",0.33
"563","11/06/2021","X20.ANNI",0.45
"564","11/06/2021","X25.ANNI",0.47
"565","11/06/2021","X30.ANNI",0.47
"566","14/06/2021","X10.ANNI",0.1
"567","14/06/2021","X15.ANNI",0.37
"568","14/06/2021","X20.ANNI",0.47
"569","14/06/2021","X25.ANNI",0.51
"570","14/06/2021","X30.ANNI",0.49
"571","15/06/2021","X10.ANNI",0.11
"572","15/06/2021","X15.ANNI",0.37
"573","15/06/2021","X20.ANNI",0.49
"574","15/06/2021","X25.ANNI",0.53
"575","15/06/2021","X30.ANNI",0.5
"576","16/06/2021","X10.ANNI",0.1
"577","16/06/2021","X15.ANNI",0.36
"578","16/06/2021","X20.ANNI",0.48
"579","16/06/2021","X25.ANNI",0.51
"580","16/06/2021","X30.ANNI",0.49
"581","17/06/2021","X10.ANNI",0.1
"582","17/06/2021","X15.ANNI",0.36
"583","17/06/2021","X20.ANNI",0.47
"584","17/06/2021","X25.ANNI",0.51
"585","17/06/2021","X30.ANNI",0.48
"586","18/06/2021","X10.ANNI",0.1
"587","18/06/2021","X15.ANNI",0.34
"588","18/06/2021","X20.ANNI",0.44
"589","18/06/2021","X25.ANNI",0.46
"590","18/06/2021","X30.ANNI",0.43
"591","21/06/2021","X10.ANNI",0.13
"592","21/06/2021","X15.ANNI",0.38
"593","21/06/2021","X20.ANNI",0.47
"594","21/06/2021","X25.ANNI",0.5
"595","21/06/2021","X30.ANNI",0.47
"596","22/06/2021","X10.ANNI",0.12
"597","22/06/2021","X15.ANNI",0.37
"598","22/06/2021","X20.ANNI",0.48
"599","22/06/2021","X25.ANNI",0.49
"600","22/06/2021","X30.ANNI",0.49
"601","23/06/2021","X10.ANNI",0.11
"602","23/06/2021","X15.ANNI",0.36
"603","23/06/2021","X20.ANNI",0.48
"604","23/06/2021","X25.ANNI",0.49
"605","23/06/2021","X30.ANNI",0.47
"606","24/06/2021","X10.ANNI",0.12
"607","24/06/2021","X15.ANNI",0.38
"608","24/06/2021","X20.ANNI",0.49
"609","24/06/2021","X25.ANNI",0.51
"610","24/06/2021","X30.ANNI",0.49
"611","25/06/2021","X10.ANNI",0.14
"612","25/06/2021","X15.ANNI",0.4
"613","25/06/2021","X20.ANNI",0.51
"614","25/06/2021","X25.ANNI",0.54
"615","25/06/2021","X30.ANNI",0.51
"616","28/06/2021","X10.ANNI",0.12
"617","28/06/2021","X15.ANNI",0.38
"618","28/06/2021","X20.ANNI",0.49
"619","28/06/2021","X25.ANNI",0.51
"620","28/06/2021","X30.ANNI",0.49
"621","29/06/2021","X10.ANNI",0.13
"622","29/06/2021","X15.ANNI",0.39
"623","29/06/2021","X20.ANNI",0.51
"624","29/06/2021","X25.ANNI",0.53
"625","29/06/2021","X30.ANNI",0.51
"626","30/06/2021","X10.ANNI",0.1
"627","30/06/2021","X15.ANNI",0.38
"628","30/06/2021","X20.ANNI",0.48
"629","30/06/2021","X25.ANNI",0.52
"630","30/06/2021","X30.ANNI",0.48
